Character,CharacterState,CharacterStateTranslation,StateGroup,StateHelp,StateHelpShort
Femur_shape,normal,Normal,,,
Femur_shape,ridged,With 1 or 2 ridges along length of femur,,,
Spurs,normal,"Normal, straight or gently curved",,,
Spurs,broad,"Bent, and distinctly widened basally",,,
Spurs,curved,"Curved, but not broadened basally",,,
Tibia_shape,normal,"Normal, no more than 1.5 times broader at apex than midpoint",,,
Tibia_shape,broad,"Cuneate, >1.5 times broader at apex than midpoint",,,
Tibia_shape,narrow,"Narrow, nearly parallel sided",,,
Scopa_color,pale,Pale,,,
Scopa_color,mixed,Mixed pale and dark,,,
Scopa_color,dark,Dark,,,
Scopa_hairs,simple,"Hairs simple, unbranched",,,
Scopa_hairs,weak,Weakly branched,,,
Scopa_hairs,plumose,"Plumose, feathery",,,
Flocculus,complete,"Complete: long, curled hairs on hind trochanter",,,
Flocculus,incomplete,Incomplete: hairs mostly straight,,,
Pronotal_angle,present,Present: Distinctly angled,,,
Pronotal_angle,weak,Weak: Neither distinctly angled nor smooth and continuous,,,
Pronotal_angle,absent,Absent: Smooth and continuous,,,
Thorax_hair,pale,Pale,,,
Thorax_hair,dark,Dark,,,
Thorax_hair,mixed,Mixed pale and dark,,,
Thorax_integument,dark,Dark brown or black,,,
Thorax_integument,faint,Faintly metallic,,,
Thorax_integument,metallic,"Metallic, green or blue cast",,,
Pronotal_ridge,absent,Smooth,,,
Pronotal_ridge,weak,With faint crease or ridge,,,
Pronotal_ridge,present,With distinct crease or ridge,,,
Corbicula,complete,"Complete: with anterior fringe of hairs, and bare interior",,,
Corbicula,incomplete,"Incomplete: anterior fringe absent, internal hairs",,,
Triangle_ridge,absent,Absent,,,
Triangle_ridge,present,Distinct carina defines pronotal triangle,,,
Triangle_sculpture,0,Triangle  unsculptured,,,
Triangle_sculpture,5-50,5-50% of triangle sculptured,,,
Triangle_sculpture,50-80,50-80% of triangle sculptured,,,
Triangle_sculpture,100,Triangle completely sculptured,,,
Triangle_outside,coarse,Coarse irregular sculpturing on propodeum outside triangle,,,
Triangle_outside,dull,"Sculpturing finer, dulled by tesselation or shagreening",,,
Triangle_outside,fine,"Sculpturing fine, surface shiny",,,
Triangle_outside,areolate,Sculpturing areolate,,,
Scutum_pits,absent,Pits absent on scutum between parapsidal lines,,,
Scutum_pits,less,"Pits present, dense, spacing less than 1 pit diameter",,,
Scutum_pits,1-3,"Pits present, spacing  1-3 pit diameters",,,
Scutum_pits,3+,"Pits present, sparse, spacing  >3 pit diameters",,,
Scutum_texture,dull,Surface dull throughout,,,
Scutum_texture,shiny,Surface shiny,,,
Scutum_texture,somewhat,"Surface mostly dull, somewhat shiney posteromedially",,,
SMC,2,2 submarginal cells,,,
SMC,3,3 submarginal cells,,,
R,long,r vein long - >4 times width,,,
R,short,r vein short - <4 times width,,,
